RUN	StarTest.Framework.StarSim	starsim	1625844692388	StarTest.Framework.StarSim-SIMULATION_1_20:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
GROUP	GetStarUIMemberList	1625844743468	1625844744228	758	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844743587	1625844744342	OK	 
GROUP	GetStarUIMemberList	1625844743587	1625844744342	755	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844744087	1625844744510	OK	 
GROUP	GetStarUIMemberDetail	1625844744086	1625844744511	423	OK
REQUEST	GetStarNote	GetStarNote	1625844744599	1625844744738	OK	 
GROUP	GetStarNote	1625844744599	1625844744738	139	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844744751	1625844745149	OK	 
GROUP	GetEpisodeOfCare	1625844744750	1625844745149	398	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844745081	1625844745462	OK	 
GROUP	GetEpisodeOfCare	1625844745080	1625844745462	381	OK
REQUEST	ChatTranscript	ChatTranscript	1625844745415	1625844745512	OK	 
GROUP	ChatTranscript	1625844745414	1625844745513	97	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844745613	1625844746045	OK	 
GROUP	GetStarUIMemberDetail	1625844745612	1625844746045	432	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844745988	1625844746426	OK	 
GROUP	GetEpisodeOfCare	1625844745988	1625844746426	438	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844746415	1625844746855	OK	 
GROUP	GetStarUIMemberDetail	1625844746415	1625844746855	440	OK
REQUEST	ChatTranscript	ChatTranscript	1625844746910	1625844747231	OK	 
GROUP	ChatTranscript	1625844746909	1625844747231	321	OK
REQUEST	GetStarNote	GetStarNote	1625844746878	1625844747231	OK	 
GROUP	GetStarNote	1625844746878	1625844747232	353	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844747341	1625844747726	OK	 
GROUP	GetEpisodeOfCare	1625844747341	1625844747726	385	OK
USER	Users_1	START	1625844747799
REQUEST	Authenticate	Authenticate	1625844747800	1625844748066	OK	 
GROUP	Authenticate	1625844747799	1625844748067	266	OK
REQUEST	ChatTranscript	ChatTranscript	1625844748152	1625844748221	OK	 
GROUP	ChatTranscript	1625844748151	1625844748221	69	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844747448	1625844748277	OK	 
GROUP	GetStarUIMemberList	1625844747448	1625844748277	829	OK
REQUEST	GetStarNote	GetStarNote	1625844748068	1625844748407	OK	 
GROUP	GetStarNote	1625844748067	1625844748407	339	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844747640	1625844748447	OK	 
GROUP	GetStarUIMemberList	1625844747639	1625844748447	807	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844747825	1625844748567	OK	 
GROUP	GetStarUIMemberList	1625844747824	1625844748567	742	OK
REQUEST	GetStarNote	GetStarNote	1625844748417	1625844748736	OK	 
GROUP	GetStarNote	1625844748416	1625844748736	319	OK
REQUEST	ChatTranscript	ChatTranscript	1625844748890	1625844748991	OK	 
GROUP	ChatTranscript	1625844748890	1625844748991	101	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844748899	1625844749597	OK	 
GROUP	GetStarUIMemberList	1625844748898	1625844749597	698	OK
REQUEST	GetStarNote	GetStarNote	1625844749471	1625844749641	OK	 
GROUP	GetStarNote	1625844749471	1625844749641	170	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844749268	1625844749655	OK	 
GROUP	GetEpisodeOfCare	1625844749268	1625844749655	387	OK
REQUEST	GetStarNote	GetStarNote	1625844749832	1625844750037	OK	 
GROUP	GetStarNote	1625844749831	1625844750038	205	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844750023	1625844750526	OK	 
GROUP	GetStarUIMemberDetail	1625844750023	1625844750527	503	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844749984	1625844750527	OK	 
GROUP	GetStarUIMemberDetail	1625844749983	1625844750527	543	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844750512	1625844750986	OK	 
GROUP	GetStarUIMemberDetail	1625844750511	1625844750986	474	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844750554	1625844751019	OK	 
GROUP	GetEpisodeOfCare	1625844750554	1625844751020	465	OK
REQUEST	GetStarNote	GetStarNote	1625844750796	1625844751064	OK	 
GROUP	GetStarNote	1625844750796	1625844751064	268	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844750767	1625844751216	OK	 
GROUP	GetEpisodeOfCare	1625844750767	1625844751216	449	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844751262	1625844751873	OK	 
GROUP	GetStarUIMemberDetail	1625844751261	1625844751874	611	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844751339	1625844751874	OK	 
GROUP	GetEpisodeOfCare	1625844751339	1625844751874	535	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844751365	1625844752149	OK	 
GROUP	GetStarUIMemberList	1625844751364	1625844752149	784	OK
REQUEST	ChatTranscript	ChatTranscript	1625844752762	1625844752860	OK	 
GROUP	ChatTranscript	1625844752761	1625844752860	98	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844752947	1625844753347	OK	 
GROUP	GetEpisodeOfCare	1625844752946	1625844753347	400	OK
REQUEST	ChatTranscript	ChatTranscript	1625844753336	1625844753418	OK	 
GROUP	ChatTranscript	1625844753336	1625844753418	82	OK
REQUEST	ChatTranscript	ChatTranscript	1625844753487	1625844753562	OK	 
GROUP	ChatTranscript	1625844753486	1625844753563	75	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844752999	1625844753695	OK	 
GROUP	GetStarUIMemberList	1625844752999	1625844753695	696	OK
USER	Users_1	START	1625844753799
REQUEST	ChatTranscript	ChatTranscript	1625844753746	1625844753820	OK	 
GROUP	ChatTranscript	1625844753745	1625844753820	74	OK
REQUEST	Authenticate	Authenticate	1625844753800	1625844754048	OK	 
GROUP	Authenticate	1625844753799	1625844754049	248	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844753952	1625844754340	OK	 
GROUP	GetEpisodeOfCare	1625844753951	1625844754340	388	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844753836	1625844754607	OK	 
GROUP	GetStarUIMemberList	1625844753836	1625844754607	771	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844754127	1625844754628	OK	 
GROUP	GetStarUIMemberDetail	1625844754127	1625844754629	501	OK
REQUEST	GetStarNote	GetStarNote	1625844754050	1625844754798	OK	 
GROUP	GetStarNote	1625844754049	1625844754799	748	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844754676	1625844755706	OK	 
GROUP	GetStarUIMemberList	1625844754675	1625844755706	1030	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844754855	1625844755848	OK	 
GROUP	GetStarUIMemberList	1625844754854	1625844755848	993	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844755731	1625844756392	OK	 
GROUP	GetStarUIMemberDetail	1625844755730	1625844756392	661	OK
REQUEST	ChatTranscript	ChatTranscript	1625844755878	1625844757270	OK	 
REQUEST	GetStarNote	GetStarNote	1625844755835	1625844757270	OK	 
REQUEST	GetStarNote	GetStarNote	1625844756030	1625844757270	OK	 
GROUP	GetStarNote	1625844755835	1625844757271	1435	OK
GROUP	ChatTranscript	1625844755878	1625844757271	1392	OK
GROUP	GetStarNote	1625844756030	1625844757271	1240	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844755956	1625844757454	OK	 
GROUP	GetStarUIMemberDetail	1625844755955	1625844757454	1498	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844756400	1625844757632	OK	 
GROUP	GetEpisodeOfCare	1625844756400	1625844757633	1232	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844756966	1625844757965	OK	 
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844757280	1625844757965	OK	 
GROUP	GetStarUIMemberDetail	1625844756966	1625844757965	999	OK
GROUP	GetStarUIMemberDetail	1625844757279	1625844757965	685	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844757185	1625844758201	OK	 
GROUP	GetStarUIMemberList	1625844757184	1625844758202	1016	OK
REQUEST	ChatTranscript	ChatTranscript	1625844758778	1625844759067	OK	 
GROUP	ChatTranscript	1625844758778	1625844759067	289	OK
REQUEST	ChatTranscript	ChatTranscript	1625844759068	1625844759398	OK	 
GROUP	ChatTranscript	1625844759068	1625844759399	330	OK
USER	Users_1	START	1625844759795
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844759239	1625844759849	OK	 
GROUP	GetEpisodeOfCare	1625844759238	1625844759849	610	OK
